Subfolder,Number of Pages,Ground Truth File,Accuracy,Precision,Recall,F1 Score,OCR File
Chapter121,3,Chapter121.txt,0.5571428571428572,0.7186139966079176,0.5571428571428572,0.6144731709810594,Chapter121.txt
Chapter73,7,Chapter73.txt,0.22405909250791417,0.5763782878755703,0.22405909250791417,0.2974184683902234,Chapter73.txt
Chapter43,2,Chapter43.txt,0.4044943820224719,0.333222516836749,0.4044943820224719,0.3564319837226388,Chapter43.txt
Chapter55,7,Chapter55.txt,0.0,0.0,0.0,0.0,Chapter55.txt
Chapter32,10,Chapter32.txt,0.0,0.0,0.0,0.0,Chapter32.txt
Chapter47,4,Chapter47.txt,0.0008944543828264759,0.01073345259391771,0.0008944543828264759,0.0016513003990642633,Chapter47.txt
Chapter107,4,Chapter107.txt,0.41309090909090906,0.6788745761415618,0.41309090909090906,0.4880706592844684,Chapter107.txt
Chapter131,3,Chapter131.txt,0.5819793205317577,0.6390524457121514,0.5819793205317577,0.600364364367094,Chapter131.txt
Chapter13,6,Chapter13.txt,0.0,0.0,0.0,0.0,Chapter13.txt
Chapter82,4,Chapter82.txt,0.2587904360056259,0.6116193838276965,0.2587904360056259,0.33923980009746857,Chapter82.txt
Chapter34,8,Chapter34.txt,0.13360323886639677,0.5266953441295547,0.13360323886639677,0.1899419802175429,Chapter34.txt
Chapter15,4,Chapter15.txt,0.2836294416243655,0.5864680568198767,0.2836294416243655,0.3567619082923214,Chapter15.txt
Chapter86,6,Chapter86.txt,0.000731528895391368,0.00024690947514649053,0.000731528895391368,0.00029716366526595455,Chapter86.txt
Chapter4,5,Chapter4.txt,0.0030596634370219276,0.023117457079721227,0.0030596634370219276,0.004879395755918325,Chapter4.txt
Chapter49,3,Chapter49.txt,0.0056925996204933585,0.01407337128399747,0.0056925996204933585,0.0072422517394054396,Chapter49.txt
Chapter77,3,Chapter77.txt,0.42045454545454547,0.466507412228726,0.42045454545454547,0.43586008071231147,Chapter77.txt
